folder,filename,description,source,source_url,published,lines_last_redrawn,features,missing_on_disk
cities/in/indianapolis/city_council_districts,city_council_districts_2021.geojson,"Indianapolis city council districts (15), 2021 map.",IndyGIS - City of Indianapolis (official),https://services5.arcgis.com/xBsPUWYKO89lShIO/arcgis/rest/services/Indy_City_County_Council_Districts/FeatureServer,2021,2021,25,
cities/md/baltimore/city_council_districts,city_council_districts_2022.geojson,"Baltimore city council districts (14), 2022 map.",City of Baltimore (official),https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/City_Council_District/FeatureServer,2022,2022,14,
cities/nc/charlotte/city_council_districts,city_council_districts_2020.geojson,"Charlotte city council districts (7 district seats + 2 at-large), current map per official city GIS.",City of Charlotte (official CharlotteNC GIS org),https://services.arcgis.com/9Nl857LBlQVyzq54/arcgis/rest/services/CouncilDistricts/FeatureServer,2020,2020,7,
cities/nc/raleigh/city_council_districts,city_council_districts_2021.geojson,Raleigh (NC) city council districts A-E (5 district seats + 4 at-large).,"City of Raleigh, NC (official RaleighGIS org)",https://maps.raleighnc.gov/arcgis/rest/services/Boundaries/MapServer,unknown,"2021 (current map, in use since 2023 elections)",5,
cities/ny/new_york/city_council_districts,city_council_districts_2022.geojson,"New York City council districts (51), 2022 redistricting map.","NYC Dept. of City Planning (DCP GIS), via ArcGIS Online",https://services5.arcgis.com/GfwWNkhOj9bNBqoJ/arcgis/rest/services/NYC_City_Council_Districts/FeatureServer,2022,2022 (map effective for 2023 elections),51,
cities/oh/columbus/city_council_districts,city_council_districts_2020.geojson,"Columbus (OH) city council districts (15), 2020 map.","City of Columbus, Ohio GIS (official)",https://services1.arcgis.com/9yy6msODkIBzkUXU/arcgis/rest/services/CouncilDistricts_2020_Round3/FeatureServer,2020,2020,9,
cities/ok/oklahoma_city/city_council_districts,city_council_districts_2022.geojson,"Oklahoma City (OK) council wards (8, unlabeled — count matches the 8-ward structure; values absent from layer). 2 at-large members elected citywide.",OKC (official employee account),https://services7.arcgis.com/MZ4B5pzPtWwwXYaI/arcgis/rest/services/OKC_Council_Wards/FeatureServer,2022,2022 (Wikipedia: 'OKC ward map effective 1 April 2022'; 8-ward structure),8,
cities/ok/tulsa/city_council_districts,city_council_districts_2023.geojson,"Tulsa city council districts (7), 2023 map (file labeled 2024).",Tulsa council districts (ArcGIS Online copy of the 2024 map),https://services.arcgis.com/GL0fWlNkwysZaKeV/arcgis/rest/services/Kostbade_2024_Tulsa_Council_Districts/FeatureServer,2023 (file labeled 2024),2023,9,
cities/or/portland_metro/metro_council_districts,metro_council_districts_2021.geojson,"Portland Metro Council district layer (5 district seats; remaining Metro seats at-large), 2021 map.","Metro Regional Government, Oregon (official RLIS)",https://services2.arcgis.com/McQ0OlIABe29rJJy/arcgis/rest/services/Metro_Council_Districts/FeatureServer,2021,2021,6,
cities/tn/memphis/city_council_districts,city_council_districts_2022.geojson,"Memphis (TN) single-member council districts (7, labeled CD 1-7; 2023 plan). Council = 13 members: 7 single-district + 6 from two 3-seat super-districts (see city_council_super_districts file). Structure verified on Wikipedia 'Memphis City Council' (2026).",City of Memphis (official),https://services2.arcgis.com/saWmpKJIUAjyyNVc/arcgis/rest/services/Council_Districts_2023/FeatureServer,2022 (file labeled 2023),2022,7,
cities/tn/memphis/city_council_districts,city_council_districts_2023.geojson,"Memphis (TN) super-districts (2, labeled SD 8-9, 3 council members each). Pairs with the 7 single-member district file; structure verified on Wikipedia 'Memphis City Council' (2026).",Memphis eGIS (opmautomation_memegis official city account),https://services2.arcgis.com/saWmpKJIUAjyyNVc/arcgis/rest/services/Super_District_2023/FeatureServer,2023,2023 (per layer title),2,
cities/tn/nashville/city_council_districts,city_council_districts_2011.geojson,Nashville city council districts (15) - 2011 map (STALE; 2022 redistricting not reflected in this source).,"Metro Nashville, via ArcGIS Online",https://services7.arcgis.com/EGmB20G57rbr4fjI/arcgis/rest/services/CouncilDistricts2011/FeatureServer,2011,2011 (STALE - current map is 2022; replace when a current source is found),35,
cities/tx/dallas/city_council_districts,city_council_districts_2022.geojson,"Dallas city council districts (14), 2022 map.",City of Dallas GIS (official),https://services2.arcgis.com/rwnOSbfKSwyTBcwN/arcgis/rest/services/Dallas_Council_Districts_without_Lake_Ray_Hubbard/FeatureServer,2022,2022,14,
cities/tx/el_paso/city_council_districts,city_council_districts_2018.geojson,"El Paso city council districts (8), 2018 map.","City of El Paso, via ArcGIS Online",https://services5.arcgis.com/MzDTvcMx2K6Svy8O/arcgis/rest/services/ElPaso_CouncilDistricts_gdb/FeatureServer,2018,2018,8,
cities/tx/fort_worth/city_council_districts,city_council_districts_2013.geojson,"Fort Worth city council districts (8), 2013 map.","City of Fort Worth, via ArcGIS Online",https://services7.arcgis.com/72dKV4e4HAvt2K41/arcgis/rest/services/Fort_Worth_Council_District_/FeatureServer,2013,2013,12,
cities/tx/houston/city_council_districts,city_council_districts_2022.geojson,"Houston city council districts (14), 2022 map.","City of Houston GIS, via ArcGIS Online",https://services2.arcgis.com/LYMgRMwHfrWWEg3s/arcgis/rest/services/City_of_Houston_Council_Districts/FeatureServer,2022,2022,11,
cities/tx/san_antonio/city_council_districts,city_council_districts_2022.geojson,"San Antonio redistricted council districts (10), 2022 map.",City of San Antonio GIS (official),https://services.arcgis.com/g1fRTDLeMgspWrYp/arcgis/rest/services/RedistrictedCouncilDistricts2022/FeatureServer,2022,2022,10,
cities/va/virginia_beach/city_council_districts,city_council_districts_2022.geojson,"Virginia Beach city council districts (10 district seats), 2022 map.",City of Virginia Beach (official),https://services2.arcgis.com/CyVvlIiUfRBmMQuu/arcgis/rest/services/2022_City_Council_Districts_Map/FeatureServer,2022,2022,10,
cities/wa/seattle/city_council_districts,city_council_districts_2022.geojson,"Seattle city council districts (7 district seats + 1 at-large), 2024 map.","City of Seattle (SeattleData, official)",https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Seattle_City_Council_Districts/FeatureServer,2022,2022,7,
cities/wa/tacoma/city_council_districts,city_council_districts_2025.geojson,Tacoma (WA) city council — 5 unlabeled polygons; council = 5 members (3 district seats + 2 at-large). Structure not attribute-verified; validate before precise use.,IT Data Curator (ArcGIS org copy of Tacoma council map),https://services3.arcgis.com/SCwJH1pD8WSn5T5y/arcgis/rest/services/City_Council_Districts/FeatureServer,unknown,"unknown (current 5-member structure, pulled 2026)",5,
counties/ca/alameda/school_board_districts,school_board_districts_2025.geojson,"Alameda County (CA) Board of Education trustee areas (7, single-member, labeled 1st-7th).",Alameda County (official county org),https://services5.arcgis.com/ROBnTHSNjoZ2Wm1P/arcgis/rest/services/Board_of_Education_Districts/FeatureServer,unknown,current map as of 2026 (redistricting year unverified),7,
counties/ca/inyo/school_board_districts,school_board_districts_2025.geojson,"Inyo County (CA) school board areas (5, Areas I-V); matches CA 5-trustee standard for districts under 100k enrollment (Inyo pop. ~19k); county BOE site unreachable — structure via statutory standard.",Inyo County CA GIS (official county org),https://services.arcgis.com/0jRlQ17Qmni5zEMr/arcgis/rest/services/Board_of_Education_Areas/FeatureServer,unknown,current map as of 2026 (redistricting year unverified),5,
counties/ca/san_benito/school_board_districts,school_board_districts_2025.geojson,"San Benito County (CA) school board districts (5, D1-D5); matches CA 5-trustee standard for districts under 100k enrollment; county BOE site unreachable — structure via statutory standard.",San Benito County CA GIS (official county org),https://services2.arcgis.com/NjMFCzThTMQy3AJa/arcgis/rest/services/Board_of_Education/FeatureServer,unknown,current map as of 2026 (redistricting year unverified),5,
counties/fl/collier/county_commission_districts,county_commission_districts_2019.geojson,Collier County (FL) commissioner districts (5).,"Collier County, FL (Naples) (official AGOL org)",https://services2.arcgis.com/SlIq32SqARUHIhSx/arcgis/rest/services/Commissioner_Districts_(Editable)_view/FeatureServer,unknown,2019,5,
counties/fl/lee/county_commission_districts,county_commission_districts_2017.geojson,Lee County (FL) commissioner districts (5).,"Lee County, FL GIS (official)",https://services2.arcgis.com/LvWGAAhHwbCJ2GMP/arcgis/rest/services/CommissionerDistricts/FeatureServer,2017,2017,5,
counties/fl/lee/school_board_districts,school_board_districts_2025.geojson,Lee County FL school board districts (5); polygons named per current school board member (unofficial naming).,Lee County FL GIS (official),https://services2.arcgis.com/LvWGAAhHwbCJ2GMP/arcgis/rest/services/SchoolBoardDistricts/FeatureServer,unknown,current map as of 2026 (redistricting year unverified),5,
counties/ga/chatham/school_board_districts,school_board_districts_2025.geojson,"Savannah-Chatham County (GA) public school system board districts (8, single-member); polygons named per board member (unofficial naming; 2 of 8 names match current board snapshot).",SAGIS / Sunrise Association of Governments (official GA regional GIS),https://pub.sagis.org/arcgis/rest/services/OpenData/Boundaries/MapServer/9,unknown,"current map as of 2026 (8-district board verified on sccpss.com, 2026)",8,
counties/ga/cherokee/county_commission_districts,county_commission_districts_2019.geojson,Cherokee County (GA) commissioners' districts (5).,"Cherokee County, GA (official GIS org)",https://services5.arcgis.com/UmQCfTNQbyTzAV5N/arcgis/rest/services/Commissioners_Districts/FeatureServer,unknown,2019,5,
counties/ga/coweta/county_commission_districts,county_commission_districts_2025.geojson,Coweta County (GA) board of commissioners districts (5); polygons named per current commissioner (unofficial naming).,Coweta County GA (official county employee account),https://services1.arcgis.com/AaPyNbrJpNGryRqh/arcgis/rest/services/Commission_Districts/FeatureServer,unknown,current map as of 2026 (redistricting year unverified),5,
counties/ga/forsyth/school_board_districts,school_board_districts_2025.geojson,Forsyth County (GA) Board of Education districts (5 single-member districts; 5-district structure verified via Wikipedia 2025).,Forsyth County GIS (official),https://services2.arcgis.com/StQaZGYzUARPnrpL/arcgis/rest/services/Board_of_Education_District/FeatureServer,unknown,current map as of 2026 (redistricting year unverified),5,
counties/ga/gwinnett/county_commission_districts,county_commission_districts_2025.geojson,"Gwinnett County (GA) commission districts (4, labeled 1-4); 5-member board = 1 at-large chair + 4 district members (Wikipedia, 2026).","Gwinnett County GA GIS (official county org, Administrative service)",https://services3.arcgis.com/RfpmnkSAQleRbndX/arcgis/rest/services/Administrative/FeatureServer/6,unknown,current map as of 2026 (redistricting year unverified),4,
counties/id/ada/county_commission_districts,county_commission_districts_2019.geojson,Ada County (ID) commissioner districts (5).,"Ada County, ID (Boise) GIS (official)",https://services2.arcgis.com/dgGjZc6xAH5m5JyP/arcgis/rest/services/Commissioner_District/FeatureServer,unknown,2019,3,
counties/la/st_james/school_board_districts,school_board_districts_2022.geojson,St. James Parish (LA) school board districts (7); 2022 adopted plan; 7-district board verified on stjames.k12.la.us members page (2026).,St. James Parish 2022 adopted plan (via AGL publisher J-Mann),https://services5.arcgis.com/NaE1rjvJf3JdTAkI/arcgis/rest/services/StJames_SBDistricts_2022/FeatureServer,2022,2022 adopted plan,7,
counties/la/st_john_the_baptist/school_board_districts,school_board_districts_2022.geojson,St. John the Baptist Parish (LA) school board districts (11); 2022 adopted plan. Board structure NOT independently verified (parish/district sites unreachable); same publisher as verified St. Mary plan.,St. John the Baptist Parish 2022 adopted plan (via AGL publisher J-Mann),https://services5.arcgis.com/NaE1rjvJf3JdTAkI/arcgis/rest/services/StJohn_SBDistricts_2022/FeatureServer,2022,2022 adopted plan,11,
counties/la/st_mary/school_board_districts,school_board_districts_2022.geojson,St. Mary Parish (LA) school board districts (11); 2022 adopted plan; 11-district board structure verified on stmary.gov board directory (2026).,St. Mary Parish 2022 adopted plan (via AGL publisher J-Mann),https://services5.arcgis.com/NaE1rjvJf3JdTAkI/arcgis/rest/services/StMary_SBDistricts_2022/FeatureServer,2022,2022 adopted plan,11,
counties/md/montgomery/school_board_districts,school_board_districts_2025.geojson,"Montgomery County (MD) school board (MCPS) electoral districts (5, BDED 1-5); 5-district structure verified on montgomeryschoolsmd.org board members page (2026).",Montgomery County MD GIS (official county elections layer),https://gis4.montgomerycountymd.gov/arcgis/rest/services/elections/board_of_ed/FeatureServer/0,unknown,current map as of 2026 (redistricting year unverified),5,
counties/mn/dakota/county_commission_districts,county_commission_districts_2022.geojson,"Dakota County (MN) county commissioner districts (7, single-member, labeled 1-7; 2022 redistricting).",Dakota County MN GIS (official),https://gis2.co.dakota.mn.us/arcgis/rest/services/DCGIS_OL_PoliticalAdministrative/MapServer/8,2022,2022 (layer: 'County Commissioner Districts (2022)'),7,
counties/mn/scott/county_commission_districts,county_commission_districts_2020.geojson,"Scott County (MN) county commissioner districts (5, single-member, labeled 1-5).",Scott County MN GIS (official county org),https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Commissioner_Districts/FeatureServer,unknown,2020 (5-district structure adopted 2020; vintage unverified on server),5,
counties/nc/carteret/school_board_districts,school_board_districts_2025.geojson,"Carteret County (NC) school board electoral districts (6, labeled 1-6; official county GIS). NC statute sets board size by enrollment (~9 members expected); per-district seat allocation unverified.",Carteret County NC GIS (official),https://arcgisweb.carteretcountync.gov/arcgis/rest/services/Layers/Board_of_Education_Districts/FeatureServer,unknown,current map as of 2026 (redistricting year unverified),6,
counties/nc/mecklenburg/county_commission_districts,county_commission_districts_2022.geojson,Mecklenburg County (NC) board of commissioners — 5 district polygons (named per commissioner) + 1 at-large countywide polygon = 6 commissioners.,"Mecklenburg County, NC (official CharlotteNC GIS org)",https://services.arcgis.com/9Nl857LBlQVyzq54/arcgis/rest/services/Commission/FeatureServer,unknown,2022,6,
counties/nc/pender/county_commission_districts,county_commission_districts_2019.geojson,Pender County (NC) board of commissioners districts (5).,"Pender County, NC (official GIS account)",https://services3.arcgis.com/eWu49l4aPlhvQwvs/arcgis/rest/services/Commissioner_Districts_WFL1/FeatureServer,unknown,2019,5,
counties/sc/sumter/county_commission_districts,county_commission_districts_2021.geojson,Sumter County (SC) board of county commissioners districts (5).,"Sumter County, SC (official GIS account)",https://services8.arcgis.com/FTrtUCmxaVKdPC5e/arcgis/rest/services/BOCC_Commission_Districts/FeatureServer,unknown,2021,5,
counties/tn/davidson/school_board_districts,school_board_districts_2022.geojson,"Metro Nashville / Davidson County (TN) school board districts (9, single-member, labeled 1-9; 9-district board verified via Wikipedia). Layer: '2022 School Board Districts'.",Nashville Open Data (official Metro Nashville GIS),https://services2.arcgis.com/HdTo6HJqh92wn4D8/arcgis/rest/services/School_Board_Districts_(Current)/FeatureServer,2022,2022 (2022 School Board Districts layer),9,
counties/tx/bexar/county_commission_districts,county_commission_districts_2005.geojson,Bexar County (TX) commissioner precincts (4).,"Bexar County (San Antonio), TX GIS (official)",https://maps.bexar.org/arcgis/rest/services/CommissionerPrecincts/MapServer,unknown (stable precinct boundaries),2005 (precinct map; verify),4,
counties/tx/galveston/county_commission_districts,county_commission_districts_2005.geojson,Galveston County (TX) commissioner precincts (4).,"Galveston County, TX GIS (official ArcGIS organization)",https://services5.arcgis.com/NAnnb4W7JLztFw9i/arcgis/rest/services/Galveston_County_Commissioner_Precincts/FeatureServer,unknown (stable precinct boundaries),2005 (precinct map; verify),4,
counties/tx/harris/county_commission_districts,county_commission_districts_2003.geojson,Harris County (TX) commissioner precincts (4).,"Harris County, TX (Houston) GIS (official)",https://services.arcgis.com/su8ic9KbA7PYVxPS/arcgis/rest/services/Commissioner_Precincts/FeatureServer,unknown,2003,4,
states/ak/county_subdivisions,county_subdivisions_2025.geojson,"Alaska: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 37 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_02_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),37,
states/ak/municipalities,municipal_boundaries_2025.geojson,Alaska: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 355 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_02_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),355,
states/ak/school_districts,unified_school_districts_2025.geojson,Alaska: unified (K-12) school district boundaries (TIGER UNSD). 52 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_02_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),52,
states/ak/state_house_districts,state_house_districts_2025.geojson,"Alaska: State house of representatives districts, TIGER SLDL (lower chamber). 40 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_02_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,40,
states/ak/state_senate_districts,state_senate_districts_2025.geojson,"Alaska: State senate districts, TIGER SLDU (upper chamber). 20 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_02_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,20,
states/al/county_subdivisions,county_subdivisions_2025.geojson,"Alabama: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 390 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_01_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),390,
states/al/municipalities,municipal_boundaries_2025.geojson,Alabama: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 594 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_01_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),594,
states/al/school_districts,unified_school_districts_2025.geojson,Alabama: unified (K-12) school district boundaries (TIGER UNSD). 141 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_01_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),141,
states/al/state_house_districts,state_house_districts_2025.geojson,"Alabama: State house of representatives districts, TIGER SLDL (lower chamber). 105 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_01_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,105,
states/al/state_senate_districts,state_senate_districts_2025.geojson,"Alabama: State senate districts, TIGER SLDU (upper chamber). 35 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_01_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,35,
states/ar/county_subdivisions,county_subdivisions_2025.geojson,"Arkansas: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1095 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_05_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1095,
states/ar/municipalities,municipal_boundaries_2025.geojson,Arkansas: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 626 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_05_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),626,
states/ar/school_districts,unified_school_districts_2025.geojson,Arkansas: unified (K-12) school district boundaries (TIGER UNSD). 234 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_05_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),234,
states/ar/state_house_districts,state_house_districts_2025.geojson,"Arkansas: State house of representatives districts, TIGER SLDL (lower chamber). 100 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_05_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,100,
states/ar/state_senate_districts,state_senate_districts_2025.geojson,"Arkansas: State senate districts, TIGER SLDU (upper chamber). 35 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_05_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,35,
states/as/county_subdivisions,county_subdivisions_2025.geojson,"American Samoa: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 16 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_60_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),16,
states/as/municipalities,municipal_boundaries_2025.geojson,American Samoa: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 77 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_60_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),77,
states/as/school_districts,unified_school_districts_2025.geojson,American Samoa: unified (K-12) school district boundaries (TIGER UNSD). 1 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_60_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),1,
states/az/county_subdivisions,county_subdivisions_2025.geojson,"Arizona: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 80 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_04_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),80,
states/az/municipalities,municipal_boundaries_2025.geojson,Arizona: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 467 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_04_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),467,
states/az/school_districts,community_school_districts_2025.geojson,Arizona: community school district boundaries (TIGER SCSD). 15 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_04_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),15,
states/az/school_districts,elementary_school_districts_2025.geojson,Arizona: elementary school district boundaries (TIGER ELSD). 103 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_04_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),103,
states/az/school_districts,unified_school_districts_2025.geojson,Arizona: unified (K-12) school district boundaries (TIGER UNSD). 98 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_04_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),98,
states/az/state_house_districts,state_house_districts_2025.geojson,"Arizona: State house of representatives districts, TIGER SLDL (lower chamber). 30 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_04_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,30,
